DATE,DTB3,DTB4WK,DTB6,DTB1YR
16/04/2004,0.92,0.9,1.06,
19/04/2004,0.95,0.9,1.09,
20/04/2004,0.96,0.92,1.11,
21/04/2004,0.98,0.92,1.15,
22/04/2004,0.95,0.79,1.12,
23/04/2004,0.96,0.85,1.17,
26/04/2004,0.98,0.86,1.17,
27/04/2004,0.97,0.9,1.15,
28/04/2004,0.96,0.86,1.14,
29/04/2004,0.95,0.83,1.13,
30/04/2004,0.96,0.81,1.14,
03/05/2004,0.99,0.8,1.19,
04/05/2004,0.99,0.92,1.17,
05/05/2004,0.97,0.89,1.15,
06/05/2004,0.98,0.87,1.18,
07/05/2004,1.05,0.88,1.31,
10/05/2004,1.07,0.86,1.34,
11/05/2004,1.04,0.9,1.33,
12/05/2004,1.02,0.88,1.3,
13/05/2004,0.98,0.86,1.31,
14/05/2004,0.97,0.85,1.31,
17/05/2004,1.05,0.87,1.33,
18/05/2004,1.04,0.9,1.34,
19/05/2004,1.02,0.89,1.35,
20/05/2004,1.01,0.88,1.33,
21/05/2004,1.01,0.89,1.35,
24/05/2004,1.06,0.89,1.39,
25/05/2004,1.06,0.93,1.38,
26/05/2004,1.06,0.92,1.36,
27/05/2004,1.04,0.92,1.34,
28/05/2004,1.06,0.92,1.36,
31/05/2004,.,.,.,
01/06/2004,1.15,0.93,1.41,
02/06/2004,1.15,0.95,1.42,
03/06/2004,1.15,0.94,1.42,
04/06/2004,1.18,0.93,1.47,
07/06/2004,1.23,0.93,1.51,
08/06/2004,1.25,1.02,1.53,
09/06/2004,1.25,1.01,1.58,
10/06/2004,1.27,1,1.61,
11/06/2004,.,.,.,
14/06/2004,1.4,1.02,1.74,
15/06/2004,1.32,1.07,1.65,
16/06/2004,1.28,1.03,1.65,
17/06/2004,1.25,1,1.62,
18/06/2004,1.26,1,1.64,
21/06/2004,1.32,0.99,1.67,
22/06/2004,1.3,1.06,1.66,
23/06/2004,1.27,1.06,1.65,
24/06/2004,1.26,1.08,1.64,
25/06/2004,1.28,1.08,1.65,
28/06/2004,1.36,1.08,1.74,
29/06/2004,1.36,1.17,1.71,
30/06/2004,1.31,1.15,1.64,
01/07/2004,1.2,0.99,1.6,
02/07/2004,1.27,1.04,1.57,
05/07/2004,.,.,.,
06/07/2004,1.32,1.07,1.64,
07/07/2004,1.28,1.14,1.6,
08/07/2004,1.25,1.12,1.59,
09/07/2004,1.25,1.12,1.59,
12/07/2004,1.32,1.13,1.64,
13/07/2004,1.32,1.17,1.65,
14/07/2004,1.32,1.15,1.65,
15/07/2004,1.32,1.12,1.64,
16/07/2004,1.32,1.12,1.62,
19/07/2004,1.33,1.12,1.65,
20/07/2004,1.34,1.2,1.66,
21/07/2004,1.33,1.19,1.67,
22/07/2004,1.34,1.19,1.67,
23/07/2004,1.35,1.2,1.67,
26/07/2004,1.43,1.26,1.74,
27/07/2004,1.44,1.33,1.75,
28/07/2004,1.43,1.3,1.74,
29/07/2004,1.42,1.26,1.73,
30/07/2004,1.42,1.24,1.72,
02/08/2004,1.48,1.24,1.74,
03/08/2004,1.46,1.35,1.73,
04/08/2004,1.46,1.32,1.72,
05/08/2004,1.45,1.31,1.71,
06/08/2004,1.41,1.34,1.63,
09/08/2004,1.49,1.37,1.69,
10/08/2004,1.48,1.4,1.71,
11/08/2004,1.42,1.38,1.69,
12/08/2004,1.41,1.29,1.69,
13/08/2004,1.41,1.3,1.68,
16/08/2004,1.47,1.33,1.73,
17/08/2004,1.46,1.36,1.71,
18/08/2004,1.46,1.35,1.7,
19/08/2004,1.45,1.32,1.69,
20/08/2004,1.46,1.31,1.7,
23/08/2004,1.52,1.29,1.76,
24/08/2004,1.52,1.37,1.76,
25/08/2004,1.52,1.35,1.75,
26/08/2004,1.52,1.37,1.75,
27/08/2004,1.53,1.4,1.76,
30/08/2004,1.59,1.41,1.79,
31/08/2004,1.57,1.43,1.75,
01/09/2004,1.55,1.41,1.75,
02/09/2004,1.57,1.43,1.76,
03/09/2004,1.62,1.46,1.83,
06/09/2004,.,.,.,
07/09/2004,1.64,1.49,1.87,
08/09/2004,1.62,1.55,1.84,
09/09/2004,1.61,1.55,1.84,
10/09/2004,1.63,1.58,1.83,
13/09/2004,1.64,1.56,1.85,
14/09/2004,1.63,1.55,1.84,
15/09/2004,1.64,1.54,1.84,
16/09/2004,1.64,1.52,1.83,
17/09/2004,1.68,1.55,1.86,
20/09/2004,1.7,1.57,1.88,
21/09/2004,1.69,1.6,1.89,
22/09/2004,1.68,1.5,1.89,
23/09/2004,1.69,1.5,1.91,
24/09/2004,1.7,1.5,1.94,
27/09/2004,1.72,1.55,1.96,
28/09/2004,1.69,1.6,1.95,
29/09/2004,1.69,1.49,1.95,
30/09/2004,1.68,1.44,1.95,
01/10/2004,1.67,1.49,1.95,
04/10/2004,1.69,1.5,2,
05/10/2004,1.68,1.54,1.98,
06/10/2004,1.68,1.53,1.99,
07/10/2004,1.67,1.53,1.98,
08/10/2004,1.67,1.53,1.96,
11/10/2004,.,.,.,
12/10/2004,1.69,1.55,1.97,
13/10/2004,1.69,1.56,1.95,
14/10/2004,1.71,1.57,1.94,
15/10/2004,1.72,1.56,1.95,
18/10/2004,1.78,1.56,2,
19/10/2004,1.79,1.6,2,
20/10/2004,1.79,1.59,1.99,
21/10/2004,1.81,1.6,2.01,
22/10/2004,1.81,1.61,2.02,
25/10/2004,1.87,1.68,2.05,
26/10/2004,1.88,1.79,2.05,
27/10/2004,1.88,1.75,2.08,
28/10/2004,1.87,1.68,2.09,
29/10/2004,1.87,1.7,2.08,
01/11/2004,1.96,1.74,2.15,
02/11/2004,1.94,1.83,2.14,
03/11/2004,1.92,1.8,2.13,
04/11/2004,1.94,1.82,2.14,
05/11/2004,1.99,1.82,2.21,
08/11/2004,2.04,1.83,2.25,
09/11/2004,2.04,1.86,2.24,
10/11/2004,2.04,1.85,2.24,
11/11/2004,.,.,.,
12/11/2004,2.04,1.87,2.25,
15/11/2004,2.09,1.87,2.29,
16/11/2004,2.1,1.87,2.3,
17/11/2004,2.09,1.84,2.27,
18/11/2004,2.09,1.84,2.28,
19/11/2004,2.1,1.94,2.3,
22/11/2004,2.16,1.93,2.37,
23/11/2004,2.15,1.96,2.35,
24/11/2004,2.14,1.95,2.34,
25/11/2004,.,.,.,
26/11/2004,2.16,1.97,2.34,
29/11/2004,2.2,1.97,2.4,
30/11/2004,2.19,2.04,2.38,
01/12/2004,2.18,2.02,2.34,
02/12/2004,2.18,2.02,2.35,
03/12/2004,2.17,2.02,2.33,
06/12/2004,2.22,2.04,2.38,
07/12/2004,2.21,2.05,2.37,
08/12/2004,2.2,2.04,2.36,
09/12/2004,2.2,2.03,2.36,
10/12/2004,2.21,2.03,2.38,
13/12/2004,2.21,1.98,2.44,
14/12/2004,2.18,1.98,2.42,
15/12/2004,2.17,1.94,2.41,
16/12/2004,2.16,1.89,2.41,
17/12/2004,2.16,1.9,2.42,
20/12/2004,2.19,1.91,2.48,
21/12/2004,2.17,1.89,2.48,
22/12/2004,2.15,1.8,2.47,
23/12/2004,2.15,1.78,2.47,
24/12/2004,.,.,.,
27/12/2004,2.24,1.82,2.56,
28/12/2004,2.22,1.84,2.55,
29/12/2004,2.19,1.71,2.53,
30/12/2004,2.18,1.62,2.52,
31/12/2004,2.18,1.84,2.52,
03/01/2005,2.29,1.91,2.56,
04/01/2005,2.3,2.01,2.56,
05/01/2005,2.29,2,2.56,
06/01/2005,2.27,1.99,2.56,
07/01/2005,2.28,1.98,2.56,
10/01/2005,2.33,2,2.6,
11/01/2005,2.31,1.99,2.6,
12/01/2005,2.3,1.97,2.57,
13/01/2005,2.31,2.01,2.58,
14/01/2005,2.32,2,2.61,
17/01/2005,.,.,.,
18/01/2005,2.36,1.96,2.64,
19/01/2005,2.33,1.9,2.62,
20/01/2005,2.31,1.83,2.6,
21/01/2005,2.31,1.96,2.59,
24/01/2005,2.34,1.97,2.62,
25/01/2005,2.36,2.09,2.63,
26/01/2005,2.37,2.12,2.64,
27/01/2005,2.4,2.11,2.65,
28/01/2005,2.41,2.06,2.64,
31/01/2005,2.48,1.99,2.72,
01/02/2005,2.47,2.2,2.7,
02/02/2005,2.47,2.19,2.69,
03/02/2005,2.44,2.15,2.69,
04/02/2005,2.43,2.16,2.68,
07/02/2005,2.48,2.22,2.71,
08/02/2005,2.48,2.3,2.71,
09/02/2005,2.47,2.3,2.7,
10/02/2005,2.47,2.31,2.71,
11/02/2005,2.5,2.32,2.75,
14/02/2005,2.55,2.32,2.77,
15/02/2005,2.55,2.36,2.78,
16/02/2005,2.53,2.35,2.78,
17/02/2005,2.53,2.36,2.77,
18/02/2005,2.56,2.35,2.82,
21/02/2005,.,.,.,
22/02/2005,2.63,2.37,2.86,
23/02/2005,2.63,2.43,2.86,
24/02/2005,2.64,2.44,2.86,
25/02/2005,2.69,2.46,2.87,
28/02/2005,2.72,2.45,2.93,
01/03/2005,2.7,2.51,2.92,
02/03/2005,2.68,2.49,2.91,
03/03/2005,2.7,2.5,2.91,
04/03/2005,2.7,2.51,2.92,
07/03/2005,2.71,2.53,2.94,
08/03/2005,2.7,2.57,2.94,
09/03/2005,2.7,2.55,2.94,
10/03/2005,2.69,2.55,2.95,
11/03/2005,2.7,2.55,2.97,
14/03/2005,2.75,2.56,3.01,
15/03/2005,2.75,2.66,3.01,
16/03/2005,2.74,2.64,3,
17/03/2005,2.73,2.63,2.99,
18/03/2005,2.75,2.65,3.02,
21/03/2005,2.8,2.66,3.04,
22/03/2005,2.83,2.72,3.08,
23/03/2005,2.77,2.68,3.05,
24/03/2005,2.78,2.65,3.07,
25/03/2005,.,.,.,
28/03/2005,2.79,2.64,3.1,
29/03/2005,2.78,2.66,3.08,
30/03/2005,2.77,2.66,3.06,
31/03/2005,2.73,2.58,3.04,
01/04/2005,2.74,2.61,3.04,
04/04/2005,2.75,2.59,3.05,
05/04/2005,2.74,2.59,3.04,
06/04/2005,2.71,2.56,3.02,
07/04/2005,2.71,2.57,3.03,
08/04/2005,2.73,2.56,3.05,
11/04/2005,2.71,2.55,3.08,
12/04/2005,2.71,2.58,3.07,
13/04/2005,2.72,2.58,3.06,
14/04/2005,2.72,2.58,3.05,
15/04/2005,2.73,2.58,3.03,
18/04/2005,2.85,2.6,3.06,
19/04/2005,2.85,2.69,3.04,
20/04/2005,2.81,2.6,3.02,
21/04/2005,2.82,2.54,3.04,
22/04/2005,2.87,2.58,3.05,
25/04/2005,2.88,2.6,3.1,
26/04/2005,2.86,2.66,3.09,
27/04/2005,2.83,2.6,3.08,
28/04/2005,2.82,2.55,3.06,
29/04/2005,2.84,2.65,3.08,
02/05/2005,2.88,2.6,3.1,
03/05/2005,2.85,2.6,3.1,
04/05/2005,2.81,2.54,3.08,
05/05/2005,2.75,2.55,3.05,
06/05/2005,2.8,2.59,3.1,
09/05/2005,2.86,2.59,3.13,
10/05/2005,2.84,2.55,3.11,
11/05/2005,2.81,2.55,3.09,
12/05/2005,2.82,2.52,3.08,
13/05/2005,2.76,2.4,3.04,
16/05/2005,2.84,2.38,3.09,
17/05/2005,2.82,2.55,3.08,
18/05/2005,2.8,2.55,3.06,
19/05/2005,2.81,2.58,3.05,
20/05/2005,2.83,2.6,3.08,
23/05/2005,2.91,2.61,3.1,
24/05/2005,2.88,2.77,3.08,
25/05/2005,2.89,2.74,3.08,
26/05/2005,2.88,2.72,3.06,
27/05/2005,2.9,2.71,3.05,
30/05/2005,.,.,.,
31/05/2005,2.93,2.73,3.09,
01/06/2005,2.91,2.74,3.03,
02/06/2005,2.91,2.75,3.04,
03/06/2005,2.94,2.76,3.04,
06/06/2005,2.96,2.76,3.06,
07/06/2005,2.96,2.78,3.05,
08/06/2005,2.96,2.78,3.06,
09/06/2005,2.93,2.76,3.05,
10/06/2005,2.94,2.76,3.05,
13/06/2005,2.97,2.75,3.13,
14/06/2005,2.95,2.74,3.13,
15/06/2005,2.94,2.73,3.13,
16/06/2005,2.91,2.71,3.12,
17/06/2005,2.92,2.74,3.13,
20/06/2005,2.96,2.74,3.17,
21/06/2005,2.96,2.8,3.18,
22/06/2005,2.97,2.79,3.15,
23/06/2005,3,2.73,3.17,
24/06/2005,3.02,2.72,3.17,
27/06/2005,3.09,2.77,3.23,
28/06/2005,3.08,2.94,3.25,
29/06/2005,3.06,2.9,3.23,
30/06/2005,3.06,2.94,3.24,
01/07/2005,3.1,2.96,3.28,
04/07/2005,.,.,.,
05/07/2005,3.15,2.96,3.33,
06/07/2005,3.12,2.99,3.31,
07/07/2005,3.08,2.94,3.27,
08/07/2005,3.1,2.93,3.29,
11/07/2005,3.13,2.91,3.36,
12/07/2005,3.14,2.97,3.37,
13/07/2005,3.15,2.97,3.35,
14/07/2005,3.16,2.98,3.36,
15/07/2005,3.18,2.98,3.37,
18/07/2005,3.23,2.98,3.43,
19/07/2005,3.24,3.08,3.43,
20/07/2005,3.23,3.05,3.43,
21/07/2005,3.27,3.07,3.49,
22/07/2005,3.3,3.09,3.5,
25/07/2005,3.37,3.12,3.56,
26/07/2005,3.36,3.19,3.55,
27/07/2005,3.33,3.17,3.55,
28/07/2005,3.33,3.19,3.54,
29/07/2005,3.34,3.19,3.57,
01/08/2005,3.41,3.23,3.61,
02/08/2005,3.41,3.29,3.61,
03/08/2005,3.38,3.28,3.6,
04/08/2005,3.39,3.28,3.6,
05/08/2005,3.44,3.29,3.63,
08/08/2005,3.47,3.31,3.7,
09/08/2005,3.44,3.31,3.67,
10/08/2005,3.43,3.32,3.66,
11/08/2005,3.43,3.25,3.66,
12/08/2005,3.44,3.25,3.67,
15/08/2005,3.47,3.19,3.7,
16/08/2005,3.46,3.26,3.68,
17/08/2005,3.44,3.25,3.68,
18/08/2005,3.42,3.24,3.66,
19/08/2005,3.44,3.26,3.69,
22/08/2005,3.46,3.27,3.7,
23/08/2005,3.46,3.28,3.69,
24/08/2005,3.45,3.28,3.69,
25/08/2005,3.46,3.28,3.69,
26/08/2005,3.47,3.29,3.7,
29/08/2005,3.47,3.36,3.71,
30/08/2005,3.46,3.34,3.67,
31/08/2005,3.44,3.35,3.62,
01/09/2005,3.4,3.29,3.51,
02/09/2005,3.38,3.32,3.52,
05/09/2005,.,.,.,
06/09/2005,3.45,3.32,3.58,
07/09/2005,3.41,3.3,3.61,
08/09/2005,3.4,3.25,3.61,
09/09/2005,3.41,3.26,3.61,
12/09/2005,3.44,3.26,3.67,
13/09/2005,3.4,3.25,3.65,
14/09/2005,3.35,3.2,3.64,
15/09/2005,3.37,3.17,3.65,
16/09/2005,3.42,3.16,3.69,
19/09/2005,3.51,3.14,3.72,
20/09/2005,3.54,3.24,3.76,
21/09/2005,3.34,2.96,3.71,
22/09/2005,3.39,2.92,3.69,
23/09/2005,3.4,2.99,3.7,
26/09/2005,3.46,3.1,3.76,
27/09/2005,3.42,3.1,3.75,
28/09/2005,3.39,3.06,3.75,
29/09/2005,3.46,3.02,3.76,
30/09/2005,3.47,3.08,3.8,
03/10/2005,3.54,3.12,3.89,
04/10/2005,3.55,3.29,3.89,
05/10/2005,3.5,3.28,3.87,
06/10/2005,3.52,3.27,3.87,
07/10/2005,3.54,3.28,3.87,
10/10/2005,.,.,.,
11/10/2005,3.65,3.31,3.96,
12/10/2005,3.62,3.43,3.96,
13/10/2005,3.66,3.43,3.95,
14/10/2005,3.69,3.41,3.95,
17/10/2005,3.78,3.43,4.03,
18/10/2005,3.77,3.51,4.01,
19/10/2005,3.77,3.5,4.01,
20/10/2005,3.76,3.38,4.02,
21/10/2005,3.77,3.39,4.02,
24/10/2005,3.84,3.4,4.06,
25/10/2005,3.84,3.65,4.07,
26/10/2005,3.81,3.64,4.07,
27/10/2005,3.79,3.65,4.06,
28/10/2005,3.83,3.68,4.08,
31/10/2005,3.89,3.69,4.12,
01/11/2005,3.87,3.72,4.11,
02/11/2005,3.85,3.71,4.11,
03/11/2005,3.85,3.74,4.12,
04/11/2005,3.88,3.73,4.13,
07/11/2005,3.87,3.74,4.16,
08/11/2005,3.87,3.82,4.15,
09/11/2005,3.9,3.84,4.17,
10/11/2005,3.88,3.83,4.15,
11/11/2005,.,.,.,
14/11/2005,3.93,3.86,4.2,
15/11/2005,3.92,3.94,4.19,
16/11/2005,3.91,3.93,4.15,
17/11/2005,3.92,3.91,4.15,
18/11/2005,3.91,3.89,4.16,
21/11/2005,3.91,3.87,4.15,
22/11/2005,3.84,3.87,4.09,
23/11/2005,3.86,3.87,4.14,
24/11/2005,.,.,.,
25/11/2005,3.86,3.85,4.13,
28/11/2005,3.89,3.88,4.16,
29/11/2005,3.89,3.92,4.17,
30/11/2005,3.86,3.93,4.16,
01/12/2005,3.88,3.93,4.17,
02/12/2005,3.9,3.94,4.16,
05/12/2005,3.95,3.95,4.2,
06/12/2005,3.95,3.77,4.18,
07/12/2005,3.94,3.77,4.17,
08/12/2005,3.85,3.6,4.12,
09/12/2005,3.85,3.54,4.13,
12/12/2005,3.83,3.49,4.19,
13/12/2005,3.83,3.55,4.19,
14/12/2005,3.81,3.54,4.15,
15/12/2005,3.84,3.52,4.16,
16/12/2005,3.84,3.47,4.15,
19/12/2005,3.89,3.45,4.22,
20/12/2005,3.88,3.48,4.22,
21/12/2005,3.9,3.48,4.2,
22/12/2005,3.89,3.47,4.17,
23/12/2005,3.9,3.38,4.17,
26/12/2005,.,.,.,
27/12/2005,3.9,3.38,4.2,
28/12/2005,3.87,3.5,4.18,
29/12/2005,3.92,3.59,4.19,
30/12/2005,3.99,3.94,4.22,
02/01/2006,.,.,.,
03/01/2006,4.07,3.97,4.25,
04/01/2006,4.09,3.96,4.22,
05/01/2006,4.1,3.97,4.22,
06/01/2006,4.12,3.98,4.24,
09/01/2006,4.14,4,4.25,
10/01/2006,4.19,4.08,4.27,
11/01/2006,4.2,4.08,4.29,
12/01/2006,4.22,4.08,4.28,
13/01/2006,4.23,4.04,4.28,
16/01/2006,.,.,.,
17/01/2006,4.28,3.99,4.31,
18/01/2006,4.25,3.96,4.3,
19/01/2006,4.25,3.89,4.31,
20/01/2006,4.25,3.85,4.32,
23/01/2006,4.28,3.85,4.34,
24/01/2006,4.3,4.16,4.35,
25/01/2006,4.32,4.14,4.38,
26/01/2006,4.34,4.08,4.38,
27/01/2006,4.34,4.1,4.39,
30/01/2006,4.38,4.08,4.45,
31/01/2006,4.37,4.3,4.43,
01/02/2006,4.37,4.26,4.44,
02/02/2006,4.37,4.25,4.45,
03/02/2006,4.37,4.24,4.47,
06/02/2006,4.38,4.24,4.51,
07/02/2006,4.39,4.26,4.5,
08/02/2006,4.4,4.27,4.5,
09/02/2006,4.41,4.25,4.5,
10/02/2006,4.42,4.28,4.53,
13/02/2006,4.45,4.29,4.54,
14/02/2006,4.45,4.34,4.55,
15/02/2006,4.44,4.32,4.53,
16/02/2006,4.44,4.31,4.52,
17/02/2006,4.43,4.32,4.52,
20/02/2006,.,.,.,
21/02/2006,4.46,4.33,4.56,
22/02/2006,4.46,4.36,4.53,
23/02/2006,4.48,4.36,4.56,
24/02/2006,4.49,4.37,4.56,
27/02/2006,4.51,4.4,4.59,
28/02/2006,4.51,4.39,4.57,
01/03/2006,4.49,4.37,4.58,
02/03/2006,4.5,4.37,4.58,
03/03/2006,4.5,4.36,4.58,
06/03/2006,4.49,4.35,4.6,
07/03/2006,4.49,4.39,4.6,
08/03/2006,4.47,4.37,4.6,
09/03/2006,4.48,4.36,4.6,
10/03/2006,4.5,4.37,4.61,
13/03/2006,4.5,4.36,4.65,
14/03/2006,4.48,4.41,4.62,
15/03/2006,4.51,4.42,4.63,
16/03/2006,4.5,4.41,4.6,
17/03/2006,4.52,4.42,4.61,
20/03/2006,4.55,4.47,4.61,
21/03/2006,4.57,4.59,4.64,
22/03/2006,4.57,4.59,4.63,
23/03/2006,4.55,4.58,4.63,
24/03/2006,4.54,4.58,4.61,
27/03/2006,4.51,4.6,4.62,
28/03/2006,4.53,4.63,4.65,
29/03/2006,4.51,4.61,4.65,
30/03/2006,4.5,4.59,4.66,
31/03/2006,4.52,4.57,4.64,
03/04/2006,4.55,4.58,4.68,
04/04/2006,4.56,4.56,4.67,
05/04/2006,4.55,4.54,4.65,
06/04/2006,4.56,4.57,4.67,
07/04/2006,4.57,4.56,4.67,
10/04/2006,4.58,4.56,4.71,
11/04/2006,4.58,4.55,4.7,
12/04/2006,4.58,4.54,4.73,
13/04/2006,4.58,4.46,4.76,
14/04/2006,.,.,.,
17/04/2006,4.61,4.46,4.75,
18/04/2006,4.61,4.46,4.72,
19/04/2006,4.61,4.46,4.72,
20/04/2006,4.61,4.47,4.72,
21/04/2006,4.63,4.49,4.72,
24/04/2006,4.64,4.49,4.75,
25/04/2006,4.67,4.55,4.77,
26/04/2006,4.67,4.57,4.79,
27/04/2006,4.66,4.56,4.75,
28/04/2006,4.65,4.51,4.73,
01/05/2006,4.7,4.51,4.79,
02/05/2006,4.69,4.58,4.79,
03/05/2006,4.7,4.56,4.81,
04/05/2006,4.68,4.52,4.82,
05/05/2006,4.7,4.52,4.81,
08/05/2006,4.75,4.53,4.84,
09/05/2006,4.76,4.64,4.84,
10/05/2006,4.76,4.6,4.84,
11/05/2006,4.7,4.55,4.8,
12/05/2006,4.72,4.55,4.81,
15/05/2006,4.74,4.58,4.83,
16/05/2006,4.71,4.68,4.8,
17/05/2006,4.71,4.67,4.81,
18/05/2006,4.71,4.67,4.79,
19/05/2006,4.7,4.67,4.81,
22/05/2006,4.71,4.65,4.83,
23/05/2006,4.72,4.67,4.83,
24/05/2006,4.7,4.66,4.8,
25/05/2006,4.7,4.66,4.82,
26/05/2006,4.72,4.67,4.83,
29/05/2006,.,.,.,
30/05/2006,4.72,4.67,4.85,
31/05/2006,4.74,4.67,4.89,
01/06/2006,4.71,4.67,4.87,
02/06/2006,4.69,4.67,4.82,
05/06/2006,4.73,4.68,4.85,
06/06/2006,4.74,4.72,4.86,
07/06/2006,4.74,4.71,4.87,
08/06/2006,4.74,4.7,4.87,
09/06/2006,4.75,4.7,4.88,
12/06/2006,4.81,4.68,4.93,
13/06/2006,4.77,4.64,4.93,
14/06/2006,4.77,4.6,4.97,
15/06/2006,4.72,4.51,4.96,
16/06/2006,4.75,4.54,4.99,
19/06/2006,4.81,4.57,5.05,
20/06/2006,4.8,4.62,5.04,
21/06/2006,4.79,4.58,5.03,
22/06/2006,4.79,4.46,5.04,
23/06/2006,4.84,4.51,5.07,
26/06/2006,4.91,4.62,5.11,
27/06/2006,4.92,4.78,5.1,
28/06/2006,4.88,4.7,5.1,
29/06/2006,4.88,4.59,5.06,
30/06/2006,4.87,4.43,5.04,
03/07/2006,4.96,4.55,5.1,
04/07/2006,.,.,.,
05/07/2006,4.88,4.72,5.11,
06/07/2006,4.87,4.71,5.1,
07/07/2006,4.89,4.74,5.08,
10/07/2006,4.93,4.75,5.11,
11/07/2006,4.92,4.81,5.09,
12/07/2006,4.93,4.83,5.09,
13/07/2006,4.92,4.79,5.07,
14/07/2006,4.93,4.77,5.06,
17/07/2006,4.98,4.8,5.09,
18/07/2006,5,4.85,5.12,
19/07/2006,4.98,4.82,5.07,
20/07/2006,4.95,4.77,5.04,
21/07/2006,4.96,4.78,5.05,
24/07/2006,4.97,4.8,5.06,
25/07/2006,5,4.92,5.05,
26/07/2006,4.98,4.91,5.01,
27/07/2006,4.97,4.93,5,
28/07/2006,4.94,4.89,4.96,
31/07/2006,4.97,4.93,4.98,
01/08/2006,4.99,5.11,4.98,
02/08/2006,4.97,5.11,4.98,
03/08/2006,4.98,5.1,4.99,
04/08/2006,4.96,5.07,4.96,
07/08/2006,4.99,5.1,5,
08/08/2006,4.97,5.1,4.96,
09/08/2006,4.94,5.05,4.95,
10/08/2006,4.92,5.04,4.96,
11/08/2006,4.94,5.04,5,
14/08/2006,4.99,5.07,5.04,
15/08/2006,4.97,5.09,4.99,
16/08/2006,4.94,5.07,4.96,
17/08/2006,4.96,5.07,4.98,
18/08/2006,4.97,5.05,4.99,
21/08/2006,4.98,5.07,4.98,
22/08/2006,4.97,5.08,4.97,
23/08/2006,4.96,5.08,4.97,
24/08/2006,4.96,5.08,4.97,
25/08/2006,4.98,5.09,4.97,
28/08/2006,4.97,5.1,4.98,
29/08/2006,4.94,5.1,4.96,
30/08/2006,4.92,5.08,4.94,
31/08/2006,4.92,5.03,4.92,
01/09/2006,4.89,4.99,4.91,
04/09/2006,.,.,.,
05/09/2006,4.87,4.88,4.93,
06/09/2006,4.84,4.8,4.92,
07/09/2006,4.84,4.8,4.93,
08/09/2006,4.8,4.75,4.91,
11/09/2006,4.81,4.76,4.93,
12/09/2006,4.78,4.67,4.92,
13/09/2006,4.79,4.69,4.89,
14/09/2006,4.82,4.72,4.92,
15/09/2006,4.83,4.68,4.92,
18/09/2006,4.82,4.66,4.92,
19/09/2006,4.82,4.64,4.9,
20/09/2006,4.81,4.64,4.9,
